"Story","Title","Result","Date","Stability","Duration (s)"
"Hearing API wiremock test","Should get time on employee from mock","SUCCESS","2020-07-22T12:05:27.784703+01:00[Europe/London]","0.0","0.48"
"Hearing API wiremock test","Should email on employee from mock","SUCCESS","2020-07-22T18:48:11.858867+01:00[Europe/London]","0.0","16.07"
"Hearing API wiremock standalone test","Should work from standalone mock","SUCCESS","2020-07-30T14:35:17.718945+01:00[Europe/London]","0.0","9.43"
