"Story","Title","Result","Date","Stability","Duration (s)"
"Hearing API wiremock test","Should get time on employee from mock","SUCCESS","2020-07-22T12:05:27.784703+01:00[Europe/London]","0.0","0.48"
"Hearing API wiremock test","Should email on employee from mock","SUCCESS","2020-07-22T18:48:11.858867+01:00[Europe/London]","0.0","16.07"
